LEFT_SHOULDER-LEFT_SHOULDER angle,LEFT_SHOULDER-RIGHT_SHOULDER angle,RIGHT_SHOULDER-LEFT_ELBOW angle,LEFT_ELBOW-RIGHT_ELBOW angle,RIGHT_ELBOW-RIGHT_ELBOW angle,RIGHT_ELBOW-LEFT_WRIST angle,LEFT_WRIST-RIGHT_WRIST angle,RIGHT_WRIST-LEFT_PINKY angle,LEFT_PINKY-LEFT_PINKY angle,LEFT_PINKY-RIGHT_PINKY angle,RIGHT_PINKY-LEFT_INDEX angle,LEFT_INDEX-RIGHT_INDEX angle,RIGHT_INDEX-RIGHT_INDEX angle,RIGHT_INDEX-LEFT_THUMB angle,LEFT_THUMB-RIGHT_THUMB angle,RIGHT_THUMB-LEFT_HIP angle,LEFT_HIP-LEFT_HIP angle,LEFT_HIP-RIGHT_HIP angle,RIGHT_HIP-LEFT_KNEE angle,LEFT_KNEE-RIGHT_KNEE angle,RIGHT_KNEE-RIGHT_KNEE angle,RIGHT_KNEE-LEFT_ANKLE angle,LEFT_ANKLE-RIGHT_ANKLE angle,RIGHT_ANKLE-LEFT_HEEL angle,LEFT_HEEL-LEFT_HEEL angle,LEFT_HEEL-RIGHT_HEEL angle,RIGHT_HEEL-LEFT_FOOT_INDEX angle,LEFT_FOOT_INDEX-RIGHT_FOOT_INDEX angle,label
69.37592594450801,64.0359461521587,95.42813896909368,91.31500046939219,59.43120648026938,79.36886047445005,148.0868425497984,76.43564205666081,102.34026701486857,29.020152843465677,103.71723832690022,109.66870355877762,73.37252348997649,71.77376973764487,140.5321192846051,78.68188204626813,78.11724903087584,17.06194848544292,82.32785772284377,85.18236456862128,60.64906836798333,20.10324361483805,92.76842799758171,47.8103834378337,76.40824406939693,52.42681649976868,41.12823749306691,88.04209355686409,0
69.47476000914973,64.52347320934983,99.79141199157057,102.2326571424011,78.02741834568775,85.04740736517559,148.48281583029728,107.69975942002739,108.39132469882405,76.20157227827822,136.28437291692038,115.72326979291897,106.03579680346319,79.25691294559942,144.91315137518504,106.70270286274247,78.62826171288609,16.703894368100872,81.72600413332049,78.95579446782095,69.69113016731016,37.76261141373024,57.14331468147841,60.26268130094048,68.34035776874856,37.03009034206494,55.25120188329359,80.35390146568517,0
69.09709237192673,65.30972750223239,99.05779228668685,99.11931973244765,73.24341798591522,85.87566198800869,153.63761103152098,99.73485230222579,109.39290050157541,68.34858349077231,131.79111823682092,117.56738141557776,98.43299829280525,79.84176054428556,148.01308988061737,98.3124472886367,78.6645455073221,16.77355156751467,81.58589002053874,80.98352659939366,71.25568863513722,30.068351271107936,65.75742001273107,63.860163410686816,71.44396768113008,28.728011598788118,64.42449828638598,83.47090547368907,0
68.80969885968726,65.84928842021988,97.05232193108424,96.09515978678462,72.70706229017769,82.76905034539112,153.02319430241525,99.15553070365705,106.02614508092847,68.27676614852406,132.08114255796045,115.46405251354649,99.00573280560035,76.57588700205496,147.35022844751103,98.69737859416807,79.15890972278736,16.939435188387154,80.694370273635,82.15319556841455,70.37591797112574,31.46690656842472,63.59064657480277,61.69106860415469,72.21132821616918,38.57432260854466,53.367903689401224,84.71589399911569,0
69.03869405376079,67.97147759937091,101.20262367400375,97.46015987582008,70.5738231446392,88.53670048829879,156.6221833170612,96.64005648979757,112.50826198815491,68.93732324657634,129.77466162578003,121.48298403389384,93.67941435598355,82.05012724017689,150.8555497243299,95.52538639274287,78.93802611377366,16.229098662045857,81.67393235887576,82.8801401787888,77.13450628987256,27.828226782319007,67.45328523960679,69.48928393469183,73.31891726193045,18.334687057753904,76.20794213835639,85.7841840031022,0
67.20967439524676,66.77579876604649,97.15461143932382,94.37275232541727,71.80713539439421,85.81376316940661,154.05964079596697,99.98740793448768,108.90863802037033,71.1537744455518,132.88527395276665,118.64010122287428,99.07709122694989,80.25597743437454,148.93158257400376,96.06738822047072,78.69758241563227,16.244431622305147,81.74568416744232,81.57844966562385,73.85925377905251,30.570750432279638,64.34491714396137,66.77671468933835,72.41994769905574,24.16626539102931,69.087028193347,84.49853787791162,0
66.2094874371098,66.49755756365039,96.15042237442725,94.7903348065173,73.87202468376849,84.67272673665501,153.2054318337391,104.11443040122711,107.69916162644776,76.57876096926611,135.1872411563575,118.16159757381565,103.79999675471227,79.56170526097982,148.78318264600787,100.21992911350875,78.30702967019138,15.584102016243236,82.45276134824665,80.65476644686635,75.41244021563516,34.16186518007275,59.736952064551474,68.47152152809605,72.02192274503533,21.103314559763852,72.32812959425914,84.41562925235914,0
65.05027739072038,66.6845983888573,91.98560194675922,92.6779645951984,76.80999585461394,73.5985282789406,143.5279507035125,104.35921540713493,95.49024032931702,76.02099229660246,136.52303903756965,108.98850077800037,101.68394578816863,66.82785397085067,138.75872235129145,99.49803596577543,77.24867560173408,14.160855747331011,83.8632116156566,78.15011697208026,72.31700214272574,40.167795054827536,53.60045402660788,63.320905662670484,69.32849362103099,33.271085830050616,58.787366111504596,81.13920795413463,0
64.69998016124661,66.85379403018285,92.67976636807929,94.21661508011542,75.08064167310216,79.63965284421613,145.07856659080142,103.84461918731569,99.19206036610426,75.67118459678038,133.8403780415711,113.09887184087677,99.22681009966857,71.81954278786799,140.794389382252,97.97479422621669,75.83298387913246,9.242308820297945,85.14220018104083,74.99216125907704,71.27413206710963,49.62639705331025,43.66894438023132,62.42836291744762,65.21368308018982,36.38213900779852,55.37988958911004,76.23996126219988,0
64.53785169965289,64.42459189632712,92.01222190340913,94.394981919438,68.53751333707996,86.5055668422708,146.7763534323872,101.59373381022017,104.55723364955522,71.8326435305681,129.50653675188443,117.9799279429106,94.22228103932673,78.18670938477513,142.95552900579068,94.85112243258308,75.76196420715426,3.3789675886562613,83.47854136667883,76.74538567955867,67.51245798980831,47.58570591032755,47.023870519589444,57.20878904175769,65.76451544281876,45.54678487291806,45.755127374103594,77.54151966042632,0
